"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Добавить новую категорию","","Thu Feb 19 18:13:50 UTC 2026","broken","Thu Feb 19 18:13:50 UTC 2026","","","",""
"","0","Редактирование категории","","Thu Feb 19 18:14:21 UTC 2026","broken","Thu Feb 19 18:14:21 UTC 2026","","","",""
"","565","Отображение сообщения об ошибке если пароли не совпадают","","Thu Feb 19 18:14:56 UTC 2026","passed","Thu Feb 19 18:14:57 UTC 2026","","","",""
"","1555","Сообщение об ошибке при попытке добавить трату без суммы","","Thu Feb 19 18:15:10 UTC 2026","passed","Thu Feb 19 18:15:12 UTC 2026","","","",""
"","5721","Отображение сообщения об ошибке если пользователь уже существует","","Thu Feb 19 18:14:57 UTC 2026","failed","Thu Feb 19 18:15:03 UTC 2026","","","",""
"","371","Переход на страницу регистрации со страницы авторизации","","Thu Feb 19 18:13:49 UTC 2026","passed","Thu Feb 19 18:13:50 UTC 2026","","","",""
"","0","Получение траты","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","0","Создание траты  без описания","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","0","Редактирование категории","","Thu Feb 19 18:14:21 UTC 2026","broken","Thu Feb 19 18:14:21 UTC 2026","","","",""
"","0","Отображение сообщения при попытке создать категорию без названия","","Thu Feb 19 18:13:50 UTC 2026","broken","Thu Feb 19 18:13:50 UTC 2026","","","",""
"","338","KAFKA: Заполнение userdata исключая auth","","Thu Feb 19 18:13:06 UTC 2026","broken","Thu Feb 19 18:13:07 UTC 2026","","","",""
"","0","Создание Траты","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","0","Создание категории","","Thu Feb 19 18:13:01 UTC 2026","broken","Thu Feb 19 18:13:01 UTC 2026","","","",""
"","452","Отображение сообщения о неправильном логине или пароле","","Thu Feb 19 18:13:48 UTC 2026","passed","Thu Feb 19 18:13:49 UTC 2026","","","",""
"","1699","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Thu Feb 19 18:13:05 UTC 2026","passed","Thu Feb 19 18:13:06 UTC 2026","","","",""
"","30212","Выход из аккаунта","","Thu Feb 19 18:13:17 UTC 2026","broken","Thu Feb 19 18:13:47 UTC 2026","","","",""
"","662","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Thu Feb 19 18:14:55 UTC 2026","passed","Thu Feb 19 18:14:56 UTC 2026","","","",""
"","1638","Сообщение об ошибке при попытке добавить трату без категории","","Thu Feb 19 18:15:13 UTC 2026","passed","Thu Feb 19 18:15:14 UTC 2026","","","",""
"","0","Редактирование траты","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","0","Получить все категории","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","806","test_country_name_service","","Thu Feb 19 18:13:07 UTC 2026","passed","Thu Feb 19 18:13:08 UTC 2026","","","",""
"","0","Создание Траты","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","662","Успешная регистрация","","Thu Feb 19 18:14:53 UTC 2026","passed","Thu Feb 19 18:14:53 UTC 2026","","","",""
"","595","Переход на страницу авторизации со страницы регистрации","","Thu Feb 19 18:15:04 UTC 2026","passed","Thu Feb 19 18:15:04 UTC 2026","","","",""
"","0","Удаление траты","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","916","Переход на страницу авторизации со страницы успешной регистрации","","Thu Feb 19 18:15:05 UTC 2026","passed","Thu Feb 19 18:15:06 UTC 2026","","","",""
"","0","Создание Траты","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","0","Редактирование категории","","Thu Feb 19 18:14:21 UTC 2026","broken","Thu Feb 19 18:14:21 UTC 2026","","","",""
"","2592","Отменить добавление траты","","Thu Feb 19 18:15:07 UTC 2026","passed","Thu Feb 19 18:15:09 UTC 2026","","","",""
"","0","Создание Траты","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","5831","Успешная авторизация","","Thu Feb 19 18:13:10 UTC 2026","failed","Thu Feb 19 18:13:16 UTC 2026","","","",""
"","0","Редактирование категории","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","0","Успешное добавление траты","","Thu Feb 19 18:15:09 UTC 2026","broken","Thu Feb 19 18:15:09 UTC 2026","","","",""
"","641","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Thu Feb 19 18:14:54 UTC 2026","passed","Thu Feb 19 18:14:54 UTC 2026","","","",""
"","0","Редактирование категории","","Thu Feb 19 18:13:04 UTC 2026","broken","Thu Feb 19 18:13:04 UTC 2026","","","",""
"","127","test_country_iso_service","","Thu Feb 19 18:13:08 UTC 2026","passed","Thu Feb 19 18:13:08 UTC 2026","","","",""
