"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","Страница Профиль","3","0","","0"
"0","","0","Страница авторизации","4","0","","0"
"0","","0","Страница Регистрации","7","0","","0"
"0","","0","Страница Траты","4","0","","0"
"0","","0","Траты","8","0","","0"
"0","Kafka","0","","2","0","","0"
"0","","0","Категории","4","0","","0"
"0","","0","SOAP","2","0","","0"
