"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","631","Отображение сообщения об ошибке если пользователь уже существует","","Fri Feb 20 18:40:22 UTC 2026","passed","Fri Feb 20 18:40:22 UTC 2026","","","",""
"","147","Добавить новую категорию","","Fri Feb 20 18:40:07 UTC 2026","passed","Fri Feb 20 18:40:07 UTC 2026","","","",""
"","23","Получение траты","","Fri Feb 20 18:39:55 UTC 2026","passed","Fri Feb 20 18:39:55 UTC 2026","","","",""
"","1493","Сообщение об ошибке при попытке добавить трату без суммы","","Fri Feb 20 18:40:31 UTC 2026","passed","Fri Feb 20 18:40:32 UTC 2026","","","",""
"","570","Отображение сообщения о неправильном логине или пароле","","Fri Feb 20 18:40:03 UTC 2026","passed","Fri Feb 20 18:40:04 UTC 2026","","","",""
"","1098","Отменить добавление траты","","Fri Feb 20 18:40:26 UTC 2026","passed","Fri Feb 20 18:40:27 UTC 2026","","","",""
"","1617","Выход из аккаунта","","Fri Feb 20 18:40:01 UTC 2026","passed","Fri Feb 20 18:40:03 UTC 2026","","","",""
"","41","Получить все категории","","Fri Feb 20 18:39:55 UTC 2026","passed","Fri Feb 20 18:39:55 UTC 2026","","","",""
"","131","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Fri Feb 20 18:39:55 UTC 2026","passed","Fri Feb 20 18:39:56 UTC 2026","","","",""
"","41","Отображение сообщения при попытке создать категорию без названия","","Fri Feb 20 18:40:09 UTC 2026","passed","Fri Feb 20 18:40:09 UTC 2026","","","",""
"","23","Создание траты  без описания","","Fri Feb 20 18:39:55 UTC 2026","passed","Fri Feb 20 18:39:55 UTC 2026","","","",""
"","1825","Редактирование категории","","Fri Feb 20 18:40:13 UTC 2026","failed","Fri Feb 20 18:40:14 UTC 2026","","","",""
"","621","test_country_name_service","","Fri Feb 20 18:39:56 UTC 2026","passed","Fri Feb 20 18:39:57 UTC 2026","","","",""
"","25","Создание Траты","","Fri Feb 20 18:39:55 UTC 2026","passed","Fri Feb 20 18:39:55 UTC 2026","","","",""
"","29","Редактирование категории","","Fri Feb 20 18:39:54 UTC 2026","passed","Fri Feb 20 18:39:55 UTC 2026","","","",""
"","493","Отображение сообщения об ошибке если пароли не совпадают","","Fri Feb 20 18:40:21 UTC 2026","passed","Fri Feb 20 18:40:21 UTC 2026","","","",""
"","36","Редактирование категории","","Fri Feb 20 18:39:54 UTC 2026","passed","Fri Feb 20 18:39:54 UTC 2026","","","",""
"","2373","Успешная авторизация","","Fri Feb 20 18:39:58 UTC 2026","passed","Fri Feb 20 18:40:00 UTC 2026","","","",""
"","1793","Успешное добавление траты","","Fri Feb 20 18:40:28 UTC 2026","passed","Fri Feb 20 18:40:30 UTC 2026","","","",""
"","610","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Fri Feb 20 18:40:20 UTC 2026","passed","Fri Feb 20 18:40:20 UTC 2026","","","",""
"","593","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Fri Feb 20 18:40:19 UTC 2026","passed","Fri Feb 20 18:40:19 UTC 2026","","","",""
"","25","Создание Траты","","Fri Feb 20 18:39:55 UTC 2026","passed","Fri Feb 20 18:39:55 UTC 2026","","","",""
"","26","Создание Траты","","Fri Feb 20 18:39:55 UTC 2026","passed","Fri Feb 20 18:39:55 UTC 2026","","","",""
"","600","Успешная регистрация","","Fri Feb 20 18:40:18 UTC 2026","passed","Fri Feb 20 18:40:18 UTC 2026","","","",""
"","587","Переход на страницу авторизации со страницы регистрации","","Fri Feb 20 18:40:23 UTC 2026","passed","Fri Feb 20 18:40:24 UTC 2026","","","",""
"","1539","Редактирование категории","","Fri Feb 20 18:40:10 UTC 2026","passed","Fri Feb 20 18:40:12 UTC 2026","","","",""
"","86","Создание Траты","","Fri Feb 20 18:39:55 UTC 2026","passed","Fri Feb 20 18:39:55 UTC 2026","","","",""
"","828","Переход на страницу авторизации со страницы успешной регистрации","","Fri Feb 20 18:40:24 UTC 2026","passed","Fri Feb 20 18:40:25 UTC 2026","","","",""
"","1502","Сообщение об ошибке при попытке добавить трату без категории","","Fri Feb 20 18:40:33 UTC 2026","passed","Fri Feb 20 18:40:35 UTC 2026","","","",""
"","26","Редактирование траты","","Fri Feb 20 18:39:55 UTC 2026","passed","Fri Feb 20 18:39:55 UTC 2026","","","",""
"","892","KAFKA: Заполнение userdata исключая auth","","Fri Feb 20 18:39:56 UTC 2026","passed","Fri Feb 20 18:39:56 UTC 2026","","","",""
"","36","Удаление траты","","Fri Feb 20 18:39:55 UTC 2026","passed","Fri Feb 20 18:39:55 UTC 2026","","","",""
"","295","Переход на страницу регистрации со страницы авторизации","","Fri Feb 20 18:40:04 UTC 2026","passed","Fri Feb 20 18:40:05 UTC 2026","","","",""
"","133","test_country_iso_service","","Fri Feb 20 18:39:57 UTC 2026","passed","Fri Feb 20 18:39:57 UTC 2026","","","",""
"","417","Создание категории","","Fri Feb 20 18:39:54 UTC 2026","passed","Fri Feb 20 18:39:54 UTC 2026","","","",""
"","400","Редактирование категории","","Fri Feb 20 18:40:17 UTC 2026","passed","Fri Feb 20 18:40:17 UTC 2026","","","",""
