"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1508","Сообщение об ошибке при попытке добавить трату без категории","","Sat Feb 21 15:38:43 UTC 2026","passed","Sat Feb 21 15:38:45 UTC 2026","","","",""
"","37","Редактирование категории","","Sat Feb 21 15:37:58 UTC 2026","passed","Sat Feb 21 15:37:58 UTC 2026","","","",""
"","491","Отображение сообщения об ошибке если пароли не совпадают","","Sat Feb 21 15:38:31 UTC 2026","passed","Sat Feb 21 15:38:31 UTC 2026","","","",""
"","23","Создание Траты","","Sat Feb 21 15:37:59 UTC 2026","passed","Sat Feb 21 15:37:59 UTC 2026","","","",""
"","41","Получить все категории","","Sat Feb 21 15:37:58 UTC 2026","passed","Sat Feb 21 15:37:59 UTC 2026","","","",""
"","393","Переход на страницу регистрации со страницы авторизации","","Sat Feb 21 15:38:08 UTC 2026","passed","Sat Feb 21 15:38:09 UTC 2026","","","",""
"","1822","Редактирование категории","","Sat Feb 21 15:38:23 UTC 2026","failed","Sat Feb 21 15:38:25 UTC 2026","","","",""
"","611","Отображение сообщения об ошибке если пользователь уже существует","","Sat Feb 21 15:38:32 UTC 2026","passed","Sat Feb 21 15:38:32 UTC 2026","","","",""
"","1104","Отменить добавление траты","","Sat Feb 21 15:38:36 UTC 2026","passed","Sat Feb 21 15:38:37 UTC 2026","","","",""
"","881","KAFKA: Заполнение userdata исключая auth","","Sat Feb 21 15:37:59 UTC 2026","passed","Sat Feb 21 15:38:00 UTC 2026","","","",""
"","820","Переход на страницу авторизации со страницы успешной регистрации","","Sat Feb 21 15:38:34 UTC 2026","passed","Sat Feb 21 15:38:35 UTC 2026","","","",""
"","24","Создание траты  без описания","","Sat Feb 21 15:37:59 UTC 2026","passed","Sat Feb 21 15:37:59 UTC 2026","","","",""
"","452","Отображение сообщения о неправильном логине или пароле","","Sat Feb 21 15:38:07 UTC 2026","passed","Sat Feb 21 15:38:08 UTC 2026","","","",""
"","21","Редактирование категории","","Sat Feb 21 15:37:58 UTC 2026","passed","Sat Feb 21 15:37:58 UTC 2026","","","",""
"","1388","Успешная авторизация","","Sat Feb 21 15:38:03 UTC 2026","passed","Sat Feb 21 15:38:04 UTC 2026","","","",""
"","596","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Sat Feb 21 15:38:29 UTC 2026","passed","Sat Feb 21 15:38:29 UTC 2026","","","",""
"","25","Создание Траты","","Sat Feb 21 15:37:59 UTC 2026","passed","Sat Feb 21 15:37:59 UTC 2026","","","",""
"","96","Создание Траты","","Sat Feb 21 15:37:59 UTC 2026","passed","Sat Feb 21 15:37:59 UTC 2026","","","",""
"","134","Добавить новую категорию","","Sat Feb 21 15:38:11 UTC 2026","passed","Sat Feb 21 15:38:11 UTC 2026","","","",""
"","1471","Сообщение об ошибке при попытке добавить трату без суммы","","Sat Feb 21 15:38:41 UTC 2026","passed","Sat Feb 21 15:38:42 UTC 2026","","","",""
"","6492","Редактирование категории","","Sat Feb 21 15:38:15 UTC 2026","failed","Sat Feb 21 15:38:22 UTC 2026","","","",""
"","128","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Sat Feb 21 15:37:59 UTC 2026","passed","Sat Feb 21 15:37:59 UTC 2026","","","",""
"","1632","Выход из аккаунта","","Sat Feb 21 15:38:05 UTC 2026","passed","Sat Feb 21 15:38:07 UTC 2026","","","",""
"","23","Создание Траты","","Sat Feb 21 15:37:59 UTC 2026","passed","Sat Feb 21 15:37:59 UTC 2026","","","",""
"","649","test_country_name_service","","Sat Feb 21 15:38:00 UTC 2026","passed","Sat Feb 21 15:38:01 UTC 2026","","","",""
"","610","Успешная регистрация","","Sat Feb 21 15:38:28 UTC 2026","passed","Sat Feb 21 15:38:28 UTC 2026","","","",""
"","38","Удаление траты","","Sat Feb 21 15:37:59 UTC 2026","passed","Sat Feb 21 15:37:59 UTC 2026","","","",""
"","1813","Успешное добавление траты","","Sat Feb 21 15:38:38 UTC 2026","passed","Sat Feb 21 15:38:40 UTC 2026","","","",""
"","167","test_country_iso_service","","Sat Feb 21 15:38:01 UTC 2026","passed","Sat Feb 21 15:38:01 UTC 2026","","","",""
"","390","Редактирование категории","","Sat Feb 21 15:38:27 UTC 2026","passed","Sat Feb 21 15:38:27 UTC 2026","","","",""
"","33","Отображение сообщения при попытке создать категорию без названия","","Sat Feb 21 15:38:13 UTC 2026","passed","Sat Feb 21 15:38:13 UTC 2026","","","",""
"","588","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Sat Feb 21 15:38:30 UTC 2026","passed","Sat Feb 21 15:38:30 UTC 2026","","","",""
"","30","Редактирование траты","","Sat Feb 21 15:37:59 UTC 2026","passed","Sat Feb 21 15:37:59 UTC 2026","","","",""
"","565","Переход на страницу авторизации со страницы регистрации","","Sat Feb 21 15:38:33 UTC 2026","passed","Sat Feb 21 15:38:33 UTC 2026","","","",""
"","434","Создание категории","","Sat Feb 21 15:37:58 UTC 2026","passed","Sat Feb 21 15:37:58 UTC 2026","","","",""
"","22","Получение траты","","Sat Feb 21 15:37:59 UTC 2026","passed","Sat Feb 21 15:37:59 UTC 2026","","","",""
