"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109","test_country_iso_service","","Thu Feb 19 19:16:20 UTC 2026","passed","Thu Feb 19 19:16:20 UTC 2026","","","",""
"","1451","Успешная авторизация","","Thu Feb 19 19:16:21 UTC 2026","passed","Thu Feb 19 19:16:22 UTC 2026","","","",""
"","64","Создание категории","","Thu Feb 19 19:16:14 UTC 2026","broken","Thu Feb 19 19:16:14 UTC 2026","","","",""
"","41","Создание Траты","","Thu Feb 19 19:16:17 UTC 2026","passed","Thu Feb 19 19:16:17 UTC 2026","","","",""
"","327","Переход на страницу регистрации со страницы авторизации","","Thu Feb 19 19:16:27 UTC 2026","passed","Thu Feb 19 19:16:27 UTC 2026","","","",""
"","609","Переход на страницу авторизации со страницы регистрации","","Thu Feb 19 19:16:45 UTC 2026","passed","Thu Feb 19 19:16:46 UTC 2026","","","",""
"","287","Создание Траты","","Thu Feb 19 19:16:17 UTC 2026","passed","Thu Feb 19 19:16:17 UTC 2026","","","",""
"","80","Удаление траты","","Thu Feb 19 19:16:18 UTC 2026","passed","Thu Feb 19 19:16:18 UTC 2026","","","",""
"","0","Редактирование категории","","Thu Feb 19 19:16:14 UTC 2026","broken","Thu Feb 19 19:16:14 UTC 2026","","","",""
"","1550","Редактирование категории","","Thu Feb 19 19:16:32 UTC 2026","passed","Thu Feb 19 19:16:34 UTC 2026","","","",""
"","1486","Сообщение об ошибке при попытке добавить трату без категории","","Thu Feb 19 19:16:56 UTC 2026","passed","Thu Feb 19 19:16:57 UTC 2026","","","",""
"","11","Создание Траты","","Thu Feb 19 19:16:16 UTC 2026","broken","Thu Feb 19 19:16:16 UTC 2026","","","",""
"","494","Отображение сообщения о неправильном логине или пароле","","Thu Feb 19 19:16:26 UTC 2026","passed","Thu Feb 19 19:16:26 UTC 2026","","","",""
"","1821","Редактирование категории","","Thu Feb 19 19:16:35 UTC 2026","failed","Thu Feb 19 19:16:37 UTC 2026","","","",""
"","86","Редактирование траты","","Thu Feb 19 19:16:18 UTC 2026","passed","Thu Feb 19 19:16:18 UTC 2026","","","",""
"","626","Успешная регистрация","","Thu Feb 19 19:16:40 UTC 2026","passed","Thu Feb 19 19:16:41 UTC 2026","","","",""
"","39","Получение траты","","Thu Feb 19 19:16:18 UTC 2026","passed","Thu Feb 19 19:16:18 UTC 2026","","","",""
"","0","Получить все категории","","Thu Feb 19 19:16:15 UTC 2026","broken","Thu Feb 19 19:16:15 UTC 2026","","","",""
"","679","KAFKA: Заполнение userdata исключая auth","","Thu Feb 19 19:16:19 UTC 2026","broken","Thu Feb 19 19:16:19 UTC 2026","","","",""
"","595","Отображение сообщения об ошибке если пользователь уже существует","","Thu Feb 19 19:16:44 UTC 2026","passed","Thu Feb 19 19:16:45 UTC 2026","","","",""
"","580","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Thu Feb 19 19:16:41 UTC 2026","passed","Thu Feb 19 19:16:42 UTC 2026","","","",""
"","564","Отображение сообщения об ошибке если пароли не совпадают","","Thu Feb 19 19:16:43 UTC 2026","passed","Thu Feb 19 19:16:44 UTC 2026","","","",""
"","625","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Thu Feb 19 19:16:42 UTC 2026","passed","Thu Feb 19 19:16:43 UTC 2026","","","",""
"","0","Редактирование категории","","Thu Feb 19 19:16:15 UTC 2026","broken","Thu Feb 19 19:16:15 UTC 2026","","","",""
"","401","Редактирование категории","","Thu Feb 19 19:16:39 UTC 2026","passed","Thu Feb 19 19:16:39 UTC 2026","","","",""
"","143","Добавить новую категорию","","Thu Feb 19 19:16:29 UTC 2026","passed","Thu Feb 19 19:16:29 UTC 2026","","","",""
"","1607","Выход из аккаунта","","Thu Feb 19 19:16:23 UTC 2026","passed","Thu Feb 19 19:16:25 UTC 2026","","","",""
"","44","Создание траты  без описания","","Thu Feb 19 19:16:17 UTC 2026","passed","Thu Feb 19 19:16:17 UTC 2026","","","",""
"","36","Создание Траты","","Thu Feb 19 19:16:17 UTC 2026","passed","Thu Feb 19 19:16:17 UTC 2026","","","",""
"","541","test_country_name_service","","Thu Feb 19 19:16:19 UTC 2026","passed","Thu Feb 19 19:16:20 UTC 2026","","","",""
"","1608","Сообщение об ошибке при попытке добавить трату без суммы","","Thu Feb 19 19:16:53 UTC 2026","passed","Thu Feb 19 19:16:55 UTC 2026","","","",""
"","739","Переход на страницу авторизации со страницы успешной регистрации","","Thu Feb 19 19:16:46 UTC 2026","passed","Thu Feb 19 19:16:47 UTC 2026","","","",""
"","1117","Отменить добавление траты","","Thu Feb 19 19:16:48 UTC 2026","passed","Thu Feb 19 19:16:49 UTC 2026","","","",""
"","1701","Успешное добавление траты","","Thu Feb 19 19:16:50 UTC 2026","passed","Thu Feb 19 19:16:52 UTC 2026","","","",""
"","366","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Thu Feb 19 19:16:18 UTC 2026","passed","Thu Feb 19 19:16:19 UTC 2026","","","",""
"","33","Отображение сообщения при попытке создать категорию без названия","","Thu Feb 19 19:16:31 UTC 2026","passed","Thu Feb 19 19:16:31 UTC 2026","","","",""
