"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Страница Траты","3","0","","0"
"0","","1","Страница Регистрации","6","0","","0"
"1","","1","Страница авторизации","2","0","","0"
"5","","0","Страница Профиль","0","0","","0"
"8","","0","Траты","0","0","","0"
"0","","0","SOAP","2","0","","0"
"1","Kafka","0","","1","0","","0"
"4","","0","Категории","0","0","","0"
