"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Редактирование категории","","Tue Feb 17 18:23:47 UTC 2026","broken","Tue Feb 17 18:23:47 UTC 2026","","","",""
"","0","Редактирование категории","","Tue Feb 17 18:23:47 UTC 2026","broken","Tue Feb 17 18:23:47 UTC 2026","","","",""
"","139","test_country_iso_service","","Tue Feb 17 18:22:30 UTC 2026","passed","Tue Feb 17 18:22:30 UTC 2026","","","",""
"","0","Получить все категории","","Tue Feb 17 18:22:26 UTC 2026","broken","Tue Feb 17 18:22:26 UTC 2026","","","",""
"","0","Добавить новую категорию","","Tue Feb 17 18:23:16 UTC 2026","broken","Tue Feb 17 18:23:16 UTC 2026","","","",""
"","0","Создание категории","","Tue Feb 17 18:22:24 UTC 2026","broken","Tue Feb 17 18:22:24 UTC 2026","","","",""
"","0","Создание траты  без описания","","Tue Feb 17 18:22:27 UTC 2026","broken","Tue Feb 17 18:22:27 UTC 2026","","","",""
"","827","test_country_name_service","","Tue Feb 17 18:22:29 UTC 2026","passed","Tue Feb 17 18:22:30 UTC 2026","","","",""
"","585","Успешная регистрация","","Tue Feb 17 18:24:19 UTC 2026","passed","Tue Feb 17 18:24:20 UTC 2026","","","",""
"","0","Создание Траты","","Tue Feb 17 18:22:26 UTC 2026","broken","Tue Feb 17 18:22:26 UTC 2026","","","",""
"","1767","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Tue Feb 17 18:22:27 UTC 2026","passed","Tue Feb 17 18:22:29 UTC 2026","","","",""
"","608","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Tue Feb 17 18:24:20 UTC 2026","passed","Tue Feb 17 18:24:21 UTC 2026","","","",""
"","5631","Отображение сообщения о неправильном логине или пароле","","Tue Feb 17 18:23:09 UTC 2026","failed","Tue Feb 17 18:23:15 UTC 2026","","","",""
"","808","Переход на страницу авторизации со страницы успешной регистрации","","Tue Feb 17 18:24:31 UTC 2026","passed","Tue Feb 17 18:24:31 UTC 2026","","","",""
"","30202","Выход из аккаунта","","Tue Feb 17 18:22:38 UTC 2026","broken","Tue Feb 17 18:23:09 UTC 2026","","","",""
"","592","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Tue Feb 17 18:24:21 UTC 2026","passed","Tue Feb 17 18:24:22 UTC 2026","","","",""
"","1973","Отменить добавление траты","","Tue Feb 17 18:24:32 UTC 2026","passed","Tue Feb 17 18:24:34 UTC 2026","","","",""
"","0","Получение траты","","Tue Feb 17 18:22:27 UTC 2026","broken","Tue Feb 17 18:22:27 UTC 2026","","","",""
"","292","KAFKA: Заполнение userdata исключая auth","","Tue Feb 17 18:22:29 UTC 2026","broken","Tue Feb 17 18:22:29 UTC 2026","","","",""
"","0","Редактирование категории","","Tue Feb 17 18:22:26 UTC 2026","broken","Tue Feb 17 18:22:26 UTC 2026","","","",""
"","0","Создание Траты","","Tue Feb 17 18:22:26 UTC 2026","broken","Tue Feb 17 18:22:26 UTC 2026","","","",""
"","0","Редактирование траты","","Tue Feb 17 18:22:27 UTC 2026","broken","Tue Feb 17 18:22:27 UTC 2026","","","",""
"","0","Создание Траты","","Tue Feb 17 18:22:27 UTC 2026","broken","Tue Feb 17 18:22:27 UTC 2026","","","",""
"","6062","Успешная авторизация","","Tue Feb 17 18:22:31 UTC 2026","failed","Tue Feb 17 18:22:37 UTC 2026","","","",""
"","0","Редактирование категории","","Tue Feb 17 18:23:47 UTC 2026","broken","Tue Feb 17 18:23:47 UTC 2026","","","",""
"","0","Редактирование категории","","Tue Feb 17 18:22:26 UTC 2026","broken","Tue Feb 17 18:22:26 UTC 2026","","","",""
"","0","Отображение сообщения при попытке создать категорию без названия","","Tue Feb 17 18:23:16 UTC 2026","broken","Tue Feb 17 18:23:16 UTC 2026","","","",""
"","1622","Сообщение об ошибке при попытке добавить трату без категории","","Tue Feb 17 18:24:38 UTC 2026","passed","Tue Feb 17 18:24:40 UTC 2026","","","",""
"","579","Переход на страницу авторизации со страницы регистрации","","Tue Feb 17 18:24:30 UTC 2026","passed","Tue Feb 17 18:24:30 UTC 2026","","","",""
"","0","Создание Траты","","Tue Feb 17 18:22:27 UTC 2026","broken","Tue Feb 17 18:22:27 UTC 2026","","","",""
"","0","Успешное добавление траты","","Tue Feb 17 18:24:35 UTC 2026","broken","Tue Feb 17 18:24:35 UTC 2026","","","",""
"","1621","Сообщение об ошибке при попытке добавить трату без суммы","","Tue Feb 17 18:24:35 UTC 2026","passed","Tue Feb 17 18:24:37 UTC 2026","","","",""
"","0","Удаление траты","","Tue Feb 17 18:22:27 UTC 2026","broken","Tue Feb 17 18:22:27 UTC 2026","","","",""
"","5762","Отображение сообщения об ошибке если пользователь уже существует","","Tue Feb 17 18:24:23 UTC 2026","failed","Tue Feb 17 18:24:29 UTC 2026","","","",""
"","542","Отображение сообщения об ошибке если пароли не совпадают","","Tue Feb 17 18:24:22 UTC 2026","passed","Tue Feb 17 18:24:23 UTC 2026","","","",""
"","377","Переход на страницу регистрации со страницы авторизации","","Tue Feb 17 18:23:15 UTC 2026","passed","Tue Feb 17 18:23:16 UTC 2026","","","",""
