"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Отображение сообщения при попытке создать категорию без названия","","Thu Feb 19 19:42:45 UTC 2026","passed","Thu Feb 19 19:42:45 UTC 2026","","","",""
"","1540","Редактирование категории","","Thu Feb 19 19:42:46 UTC 2026","passed","Thu Feb 19 19:42:47 UTC 2026","","","",""
"","0","Редактирование категории","","Thu Feb 19 19:42:24 UTC 2026","broken","Thu Feb 19 19:42:24 UTC 2026","","","",""
"","2349","Успешная авторизация","","Thu Feb 19 19:42:34 UTC 2026","passed","Thu Feb 19 19:42:36 UTC 2026","","","",""
"","766","KAFKA: Заполнение userdata исключая auth","","Thu Feb 19 19:42:30 UTC 2026","broken","Thu Feb 19 19:42:31 UTC 2026","","","",""
"","10","Создание Траты","","Thu Feb 19 19:42:26 UTC 2026","broken","Thu Feb 19 19:42:26 UTC 2026","","","",""
"","79","Редактирование траты","","Thu Feb 19 19:42:29 UTC 2026","passed","Thu Feb 19 19:42:29 UTC 2026","","","",""
"","576","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Thu Feb 19 19:42:56 UTC 2026","passed","Thu Feb 19 19:42:56 UTC 2026","","","",""
"","1862","Редактирование категории","","Thu Feb 19 19:42:49 UTC 2026","failed","Thu Feb 19 19:42:50 UTC 2026","","","",""
"","66","Создание траты  без описания","","Thu Feb 19 19:42:29 UTC 2026","passed","Thu Feb 19 19:42:29 UTC 2026","","","",""
"","527","Отображение сообщения об ошибке если пароли не совпадают","","Thu Feb 19 19:42:57 UTC 2026","passed","Thu Feb 19 19:42:57 UTC 2026","","","",""
"","1049","Отменить добавление траты","","Thu Feb 19 19:43:02 UTC 2026","passed","Thu Feb 19 19:43:03 UTC 2026","","","",""
"","0","Получить все категории","","Thu Feb 19 19:42:24 UTC 2026","broken","Thu Feb 19 19:42:24 UTC 2026","","","",""
"","0","Редактирование категории","","Thu Feb 19 19:42:24 UTC 2026","broken","Thu Feb 19 19:42:24 UTC 2026","","","",""
"","1492","Сообщение об ошибке при попытке добавить трату без суммы","","Thu Feb 19 19:43:07 UTC 2026","passed","Thu Feb 19 19:43:09 UTC 2026","","","",""
"","851","Переход на страницу авторизации со страницы успешной регистрации","","Thu Feb 19 19:43:00 UTC 2026","passed","Thu Feb 19 19:43:01 UTC 2026","","","",""
"","481","Отображение сообщения о неправильном логине или пароле","","Thu Feb 19 19:42:39 UTC 2026","passed","Thu Feb 19 19:42:40 UTC 2026","","","",""
"","614","Переход на страницу авторизации со страницы регистрации","","Thu Feb 19 19:42:59 UTC 2026","passed","Thu Feb 19 19:43:00 UTC 2026","","","",""
"","333","Переход на страницу регистрации со страницы авторизации","","Thu Feb 19 19:42:40 UTC 2026","passed","Thu Feb 19 19:42:40 UTC 2026","","","",""
"","254","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Thu Feb 19 19:42:30 UTC 2026","passed","Thu Feb 19 19:42:30 UTC 2026","","","",""
"","84","Удаление траты","","Thu Feb 19 19:42:29 UTC 2026","passed","Thu Feb 19 19:42:29 UTC 2026","","","",""
"","1470","Создание Траты","","Thu Feb 19 19:42:27 UTC 2026","passed","Thu Feb 19 19:42:28 UTC 2026","","","",""
"","711","Отображение сообщения об ошибке если пользователь уже существует","","Thu Feb 19 19:42:58 UTC 2026","passed","Thu Feb 19 19:42:59 UTC 2026","","","",""
"","727","test_country_name_service","","Thu Feb 19 19:42:31 UTC 2026","passed","Thu Feb 19 19:42:31 UTC 2026","","","",""
"","1832","Успешное добавление траты","","Thu Feb 19 19:43:04 UTC 2026","passed","Thu Feb 19 19:43:06 UTC 2026","","","",""
"","619","Успешная регистрация","","Thu Feb 19 19:42:54 UTC 2026","passed","Thu Feb 19 19:42:54 UTC 2026","","","",""
"","110","test_country_iso_service","","Thu Feb 19 19:42:31 UTC 2026","passed","Thu Feb 19 19:42:31 UTC 2026","","","",""
"","500","Редактирование категории","","Thu Feb 19 19:42:53 UTC 2026","passed","Thu Feb 19 19:42:53 UTC 2026","","","",""
"","89","Создание категории","","Thu Feb 19 19:42:23 UTC 2026","broken","Thu Feb 19 19:42:23 UTC 2026","","","",""
"","1494","Сообщение об ошибке при попытке добавить трату без категории","","Thu Feb 19 19:43:10 UTC 2026","passed","Thu Feb 19 19:43:11 UTC 2026","","","",""
"","10","Создание Траты","","Thu Feb 19 19:42:25 UTC 2026","broken","Thu Feb 19 19:42:25 UTC 2026","","","",""
"","18","Создание Траты","","Thu Feb 19 19:42:26 UTC 2026","broken","Thu Feb 19 19:42:26 UTC 2026","","","",""
"","1605","Выход из аккаунта","","Thu Feb 19 19:42:37 UTC 2026","passed","Thu Feb 19 19:42:39 UTC 2026","","","",""
"","145","Добавить новую категорию","","Thu Feb 19 19:42:43 UTC 2026","passed","Thu Feb 19 19:42:43 UTC 2026","","","",""
"","623","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Thu Feb 19 19:42:55 UTC 2026","passed","Thu Feb 19 19:42:55 UTC 2026","","","",""
"","61","Получение траты","","Thu Feb 19 19:42:29 UTC 2026","passed","Thu Feb 19 19:42:29 UTC 2026","","","",""
