"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"8","","0","Траты","0","0","","0"
"5","","0","Страница Профиль","0","0","","0"
"4","","0","Страница авторизации","0","0","","0"
"4","","0","Категории","0","0","","0"
"7","","0","Страница Регистрации","0","0","","0"
"4","","0","Страница Траты","0","0","","0"
"2","Kafka","0","","0","0","","0"
"2","","0","SOAP","0","0","","0"
