"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Страница Траты","4","0","","0"
"5","","0","Траты","3","0","","0"
"4","","0","Категории","0","0","","0"
"0","","0","Страница Регистрации","7","0","","0"
"0","","1","Страница авторизации","3","0","","0"
"1","Kafka","0","","1","0","","0"
"0","","2","Страница Профиль","3","0","","0"
"0","","0","SOAP","2","0","","0"
