"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1035","Отменить добавление траты","","Wed Feb 18 19:27:32 UTC 2026","passed","Wed Feb 18 19:27:33 UTC 2026","","","",""
"","12","Создание Траты","","Wed Feb 18 19:26:45 UTC 2026","broken","Wed Feb 18 19:26:45 UTC 2026","","","",""
"","11","Создание Траты","","Wed Feb 18 19:26:44 UTC 2026","broken","Wed Feb 18 19:26:44 UTC 2026","","","",""
"","0","Редактирование категории","","Wed Feb 18 19:26:43 UTC 2026","broken","Wed Feb 18 19:26:43 UTC 2026","","","",""
"","622","Отображение сообщения об ошибке если пользователь уже существует","","Wed Feb 18 19:27:28 UTC 2026","passed","Wed Feb 18 19:27:28 UTC 2026","","","",""
"","69","Удаление траты","","Wed Feb 18 19:26:48 UTC 2026","passed","Wed Feb 18 19:26:48 UTC 2026","","","",""
"","5654","Отображение сообщения о неправильном логине или пароле","","Wed Feb 18 19:26:58 UTC 2026","failed","Wed Feb 18 19:27:04 UTC 2026","","","",""
"","455","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Wed Feb 18 19:26:48 UTC 2026","passed","Wed Feb 18 19:26:49 UTC 2026","","","",""
"","600","Отображение сообщения об ошибке если пароли не совпадают","","Wed Feb 18 19:27:26 UTC 2026","passed","Wed Feb 18 19:27:27 UTC 2026","","","",""
"","100","Редактирование траты","","Wed Feb 18 19:26:48 UTC 2026","passed","Wed Feb 18 19:26:48 UTC 2026","","","",""
"","601","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Wed Feb 18 19:27:25 UTC 2026","passed","Wed Feb 18 19:27:26 UTC 2026","","","",""
"","0","Получить все категории","","Wed Feb 18 19:26:43 UTC 2026","broken","Wed Feb 18 19:26:43 UTC 2026","","","",""
"","360","Переход на страницу регистрации со страницы авторизации","","Wed Feb 18 19:27:04 UTC 2026","passed","Wed Feb 18 19:27:05 UTC 2026","","","",""
"","66","Создание категории","","Wed Feb 18 19:26:42 UTC 2026","broken","Wed Feb 18 19:26:42 UTC 2026","","","",""
"","1627","Выход из аккаунта","","Wed Feb 18 19:26:56 UTC 2026","passed","Wed Feb 18 19:26:58 UTC 2026","","","",""
"","1760","Успешное добавление траты","","Wed Feb 18 19:27:34 UTC 2026","passed","Wed Feb 18 19:27:35 UTC 2026","","","",""
"","6512","Редактирование категории","","Wed Feb 18 19:27:10 UTC 2026","failed","Wed Feb 18 19:27:17 UTC 2026","","","",""
"","641","Успешная регистрация","","Wed Feb 18 19:27:23 UTC 2026","passed","Wed Feb 18 19:27:24 UTC 2026","","","",""
"","150","Добавить новую категорию","","Wed Feb 18 19:27:07 UTC 2026","passed","Wed Feb 18 19:27:07 UTC 2026","","","",""
"","41","Отображение сообщения при попытке создать категорию без названия","","Wed Feb 18 19:27:09 UTC 2026","passed","Wed Feb 18 19:27:09 UTC 2026","","","",""
"","571","KAFKA: Заполнение userdata исключая auth","","Wed Feb 18 19:26:49 UTC 2026","broken","Wed Feb 18 19:26:49 UTC 2026","","","",""
"","1555","Сообщение об ошибке при попытке добавить трату без категории","","Wed Feb 18 19:27:39 UTC 2026","passed","Wed Feb 18 19:27:41 UTC 2026","","","",""
"","1809","Редактирование категории","","Wed Feb 18 19:27:18 UTC 2026","failed","Wed Feb 18 19:27:20 UTC 2026","","","",""
"","628","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Wed Feb 18 19:27:24 UTC 2026","passed","Wed Feb 18 19:27:25 UTC 2026","","","",""
"","2589","Успешная авторизация","","Wed Feb 18 19:26:52 UTC 2026","passed","Wed Feb 18 19:26:55 UTC 2026","","","",""
"","408","Редактирование категории","","Wed Feb 18 19:27:22 UTC 2026","passed","Wed Feb 18 19:27:22 UTC 2026","","","",""
"","173","test_country_iso_service","","Wed Feb 18 19:26:50 UTC 2026","passed","Wed Feb 18 19:26:50 UTC 2026","","","",""
"","11","Создание траты  без описания","","Wed Feb 18 19:26:46 UTC 2026","broken","Wed Feb 18 19:26:46 UTC 2026","","","",""
"","33","Получение траты","","Wed Feb 18 19:26:48 UTC 2026","passed","Wed Feb 18 19:26:48 UTC 2026","","","",""
"","0","Редактирование категории","","Wed Feb 18 19:26:42 UTC 2026","broken","Wed Feb 18 19:26:42 UTC 2026","","","",""
"","832","Переход на страницу авторизации со страницы успешной регистрации","","Wed Feb 18 19:27:30 UTC 2026","passed","Wed Feb 18 19:27:31 UTC 2026","","","",""
"","16","Создание Траты","","Wed Feb 18 19:26:45 UTC 2026","broken","Wed Feb 18 19:26:45 UTC 2026","","","",""
"","622","Переход на страницу авторизации со страницы регистрации","","Wed Feb 18 19:27:29 UTC 2026","passed","Wed Feb 18 19:27:29 UTC 2026","","","",""
"","1645","Сообщение об ошибке при попытке добавить трату без суммы","","Wed Feb 18 19:27:36 UTC 2026","passed","Wed Feb 18 19:27:38 UTC 2026","","","",""
"","666","test_country_name_service","","Wed Feb 18 19:26:49 UTC 2026","passed","Wed Feb 18 19:26:50 UTC 2026","","","",""
"","14","Создание Траты","","Wed Feb 18 19:26:44 UTC 2026","broken","Wed Feb 18 19:26:44 UTC 2026","","","",""
