"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1621","Сообщение об ошибке при попытке добавить трату без категории","","Fri Feb 20 19:07:53 UTC 2026","passed","Fri Feb 20 19:07:55 UTC 2026","","","",""
"","875","KAFKA: Заполнение userdata исключая auth","","Fri Feb 20 19:07:14 UTC 2026","passed","Fri Feb 20 19:07:15 UTC 2026","","","",""
"","1494","Сообщение об ошибке при попытке добавить трату без суммы","","Fri Feb 20 19:07:51 UTC 2026","passed","Fri Feb 20 19:07:52 UTC 2026","","","",""
"","790","test_country_name_service","","Fri Feb 20 19:07:15 UTC 2026","passed","Fri Feb 20 19:07:16 UTC 2026","","","",""
"","177","test_country_iso_service","","Fri Feb 20 19:07:16 UTC 2026","passed","Fri Feb 20 19:07:16 UTC 2026","","","",""
"","1618","Выход из аккаунта","","Fri Feb 20 19:07:21 UTC 2026","passed","Fri Feb 20 19:07:23 UTC 2026","","","",""
"","51","Удаление траты","","Fri Feb 20 19:07:14 UTC 2026","passed","Fri Feb 20 19:07:14 UTC 2026","","","",""
"","610","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Fri Feb 20 19:07:40 UTC 2026","passed","Fri Feb 20 19:07:40 UTC 2026","","","",""
"","41","Отображение сообщения при попытке создать категорию без названия","","Fri Feb 20 19:07:29 UTC 2026","passed","Fri Feb 20 19:07:29 UTC 2026","","","",""
"","1774","Успешное добавление траты","","Fri Feb 20 19:07:48 UTC 2026","passed","Fri Feb 20 19:07:50 UTC 2026","","","",""
"","554","Отображение сообщения об ошибке если пароли не совпадают","","Fri Feb 20 19:07:41 UTC 2026","passed","Fri Feb 20 19:07:41 UTC 2026","","","",""
"","103","Создание Траты","","Fri Feb 20 19:07:13 UTC 2026","passed","Fri Feb 20 19:07:14 UTC 2026","","","",""
"","403","Редактирование категории","","Fri Feb 20 19:07:37 UTC 2026","passed","Fri Feb 20 19:07:37 UTC 2026","","","",""
"","797","Переход на страницу авторизации со страницы успешной регистрации","","Fri Feb 20 19:07:44 UTC 2026","passed","Fri Feb 20 19:07:45 UTC 2026","","","",""
"","18","Редактирование категории","","Fri Feb 20 19:07:13 UTC 2026","passed","Fri Feb 20 19:07:13 UTC 2026","","","",""
"","431","Создание категории","","Fri Feb 20 19:07:13 UTC 2026","passed","Fri Feb 20 19:07:13 UTC 2026","","","",""
"","21","Получение траты","","Fri Feb 20 19:07:14 UTC 2026","passed","Fri Feb 20 19:07:14 UTC 2026","","","",""
"","637","Успешная регистрация","","Fri Feb 20 19:07:38 UTC 2026","passed","Fri Feb 20 19:07:38 UTC 2026","","","",""
"","29","Редактирование траты","","Fri Feb 20 19:07:14 UTC 2026","passed","Fri Feb 20 19:07:14 UTC 2026","","","",""
"","1834","Редактирование категории","","Fri Feb 20 19:07:33 UTC 2026","failed","Fri Feb 20 19:07:34 UTC 2026","","","",""
"","650","Отображение сообщения об ошибке если пользователь уже существует","","Fri Feb 20 19:07:42 UTC 2026","passed","Fri Feb 20 19:07:43 UTC 2026","","","",""
"","2342","Успешная авторизация","","Fri Feb 20 19:07:18 UTC 2026","passed","Fri Feb 20 19:07:20 UTC 2026","","","",""
"","609","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Fri Feb 20 19:07:39 UTC 2026","passed","Fri Feb 20 19:07:39 UTC 2026","","","",""
"","490","Отображение сообщения о неправильном логине или пароле","","Fri Feb 20 19:07:23 UTC 2026","passed","Fri Feb 20 19:07:24 UTC 2026","","","",""
"","25","Создание траты  без описания","","Fri Feb 20 19:07:14 UTC 2026","passed","Fri Feb 20 19:07:14 UTC 2026","","","",""
"","31","Создание Траты","","Fri Feb 20 19:07:14 UTC 2026","passed","Fri Feb 20 19:07:14 UTC 2026","","","",""
"","44","Получить все категории","","Fri Feb 20 19:07:13 UTC 2026","passed","Fri Feb 20 19:07:13 UTC 2026","","","",""
"","1550","Редактирование категории","","Fri Feb 20 19:07:30 UTC 2026","passed","Fri Feb 20 19:07:32 UTC 2026","","","",""
"","30","Создание Траты","","Fri Feb 20 19:07:14 UTC 2026","passed","Fri Feb 20 19:07:14 UTC 2026","","","",""
"","140","Добавить новую категорию","","Fri Feb 20 19:07:27 UTC 2026","passed","Fri Feb 20 19:07:27 UTC 2026","","","",""
"","608","Переход на страницу авторизации со страницы регистрации","","Fri Feb 20 19:07:43 UTC 2026","passed","Fri Feb 20 19:07:44 UTC 2026","","","",""
"","308","Переход на страницу регистрации со страницы авторизации","","Fri Feb 20 19:07:24 UTC 2026","passed","Fri Feb 20 19:07:25 UTC 2026","","","",""
"","1130","Отменить добавление траты","","Fri Feb 20 19:07:46 UTC 2026","passed","Fri Feb 20 19:07:47 UTC 2026","","","",""
"","135","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Fri Feb 20 19:07:14 UTC 2026","passed","Fri Feb 20 19:07:14 UTC 2026","","","",""
"","35","Редактирование категории","","Fri Feb 20 19:07:13 UTC 2026","passed","Fri Feb 20 19:07:13 UTC 2026","","","",""
"","24","Создание Траты","","Fri Feb 20 19:07:14 UTC 2026","passed","Fri Feb 20 19:07:14 UTC 2026","","","",""
