"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Создание траты  без описания","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:14 UTC 2026","","","",""
"","533","Отображение сообщения об ошибке если пароли не совпадают","","Sat Feb 21 16:02:15 UTC 2026","passed","Sat Feb 21 16:02:16 UTC 2026","","","",""
"","42","Получить все категории","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:14 UTC 2026","","","",""
"","23","Создание Траты","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:14 UTC 2026","","","",""
"","445","Отображение сообщения о неправильном логине или пароле","","Sat Feb 21 16:01:22 UTC 2026","passed","Sat Feb 21 16:01:23 UTC 2026","","","",""
"","24","Создание Траты","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:14 UTC 2026","","","",""
"","559","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Sat Feb 21 16:02:14 UTC 2026","passed","Sat Feb 21 16:02:15 UTC 2026","","","",""
"","458","Создание категории","","Sat Feb 21 16:01:13 UTC 2026","passed","Sat Feb 21 16:01:13 UTC 2026","","","",""
"","334","Переход на страницу регистрации со страницы авторизации","","Sat Feb 21 16:01:23 UTC 2026","passed","Sat Feb 21 16:01:24 UTC 2026","","","",""
"","30","Отображение сообщения при попытке создать категорию без названия","","Sat Feb 21 16:01:28 UTC 2026","passed","Sat Feb 21 16:01:28 UTC 2026","","","",""
"","129","test_country_iso_service","","Sat Feb 21 16:01:16 UTC 2026","passed","Sat Feb 21 16:01:16 UTC 2026","","","",""
"","22","Редактирование категории","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:14 UTC 2026","","","",""
"","1609","Выход из аккаунта","","Sat Feb 21 16:01:20 UTC 2026","passed","Sat Feb 21 16:01:22 UTC 2026","","","",""
"","6494","Редактирование категории","","Sat Feb 21 16:01:29 UTC 2026","failed","Sat Feb 21 16:01:36 UTC 2026","","","",""
"","550","Переход на страницу авторизации со страницы регистрации","","Sat Feb 21 16:02:17 UTC 2026","passed","Sat Feb 21 16:02:18 UTC 2026","","","",""
"","129","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:15 UTC 2026","","","",""
"","23","Создание Траты","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:14 UTC 2026","","","",""
"","1602","Сообщение об ошибке при попытке добавить трату без суммы","","Sat Feb 21 16:02:25 UTC 2026","passed","Sat Feb 21 16:02:26 UTC 2026","","","",""
"","1629","Сообщение об ошибке при попытке добавить трату без категории","","Sat Feb 21 16:02:27 UTC 2026","passed","Sat Feb 21 16:02:29 UTC 2026","","","",""
"","626","test_country_name_service","","Sat Feb 21 16:01:15 UTC 2026","passed","Sat Feb 21 16:01:16 UTC 2026","","","",""
"","94","Создание Траты","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:14 UTC 2026","","","",""
"","1672","Успешное добавление траты","","Sat Feb 21 16:02:22 UTC 2026","passed","Sat Feb 21 16:02:24 UTC 2026","","","",""
"","29","Редактирование траты","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:14 UTC 2026","","","",""
"","36","Редактирование категории","","Sat Feb 21 16:01:13 UTC 2026","passed","Sat Feb 21 16:01:13 UTC 2026","","","",""
"","1011","Отменить добавление траты","","Sat Feb 21 16:02:20 UTC 2026","passed","Sat Feb 21 16:02:21 UTC 2026","","","",""
"","2338","Успешная авторизация","","Sat Feb 21 16:01:17 UTC 2026","passed","Sat Feb 21 16:01:19 UTC 2026","","","",""
"","396","Редактирование категории","","Sat Feb 21 16:02:11 UTC 2026","passed","Sat Feb 21 16:02:11 UTC 2026","","","",""
"","560","Отображение сообщения об ошибке если пользователь уже существует","","Sat Feb 21 16:02:16 UTC 2026","passed","Sat Feb 21 16:02:17 UTC 2026","","","",""
"","636","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Sat Feb 21 16:02:13 UTC 2026","passed","Sat Feb 21 16:02:13 UTC 2026","","","",""
"","142","Добавить новую категорию","","Sat Feb 21 16:01:26 UTC 2026","passed","Sat Feb 21 16:01:26 UTC 2026","","","",""
"","853","Переход на страницу авторизации со страницы успешной регистрации","","Sat Feb 21 16:02:18 UTC 2026","passed","Sat Feb 21 16:02:19 UTC 2026","","","",""
"","879","KAFKA: Заполнение userdata исключая auth","","Sat Feb 21 16:01:15 UTC 2026","passed","Sat Feb 21 16:01:15 UTC 2026","","","",""
"","31774","Редактирование категории","","Sat Feb 21 16:01:37 UTC 2026","broken","Sat Feb 21 16:02:09 UTC 2026","","","",""
"","45","Удаление траты","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:14 UTC 2026","","","",""
"","586","Успешная регистрация","","Sat Feb 21 16:02:12 UTC 2026","passed","Sat Feb 21 16:02:12 UTC 2026","","","",""
"","22","Получение траты","","Sat Feb 21 16:01:14 UTC 2026","passed","Sat Feb 21 16:01:14 UTC 2026","","","",""
